platform,sku,title,brand,category,current_price,original_price,discount,rating,reviews_count,availability,seller,noon_express,main_image,all_images,product_url,scraped_at
noon,Z6CE831FAAFEC5924F35CZ,Luxury Microfiber Towel -NPC,AFRICANANPC,Bedding & Bath,,149 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z6CE831FAAFEC5924F35CZ/45/1767808832/60d06fac-d83a-4f70-b365-f95481128848.jpg,https://f.nooncdn.com/p/pzsku/Z6CE831FAAFEC5924F35CZ/45/1767808832/60d06fac-d83a-4f70-b365-f95481128848.jpg,https://www.noon.com/egypt-en/luxury-microfiber-towel-npc/p/?o=Z6CE831FAAFEC5924F35CZ,2026-03-27T18:43:30.332262
noon,N53179922A,Prestige Facial Tissues 500 Sheets - Pack of 6,Fine,Bedding & Bath,146.95 EGP,207 EGP,29%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N53179922A/45/_/1735209782/ddbfcf76-28ac-4fe0-a8a0-4cb425dc2717.jpg,https://f.nooncdn.com/p/pnsku/N53179922A/45/_/1735209782/ddbfcf76-28ac-4fe0-a8a0-4cb425dc2717.jpg,https://www.noon.com/egypt-en/prestige-facial-tissues-500-sheets-pack-of-6/p/?o=N53179922A,2026-03-27T18:43:30.332267
noon,Z7B52955202508D2F1877Z,12x Steel Electric Kettle  1.5L 1500W,QQ,Bedding & Bath,1855 EGP,2000 EGP,7%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z7B52955202508D2F1877Z/45/_/1735565178/b6f6ca61-a6f8-4732-a14a-1820ed563545.jpg,https://f.nooncdn.com/p/pzsku/Z7B52955202508D2F1877Z/45/_/1735565178/b6f6ca61-a6f8-4732-a14a-1820ed563545.jpg,https://www.noon.com/egypt-en/12x-steel-electric-kettle-1-5l-1500w/p/?o=Z7B52955202508D2F1877Z,2026-03-27T18:43:30.332270
noon,Z08FF21CDC8B614B837ABZ,Easy Cook 3-Piece Burgundy  frypans Set granite non stick,,Bedding & Bath,1788 EGP,2305.71 EGP,22%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z08FF21CDC8B614B837ABZ/45/1764056382/9a357766-c3d9-40f2-9fd3-0710290e18eb.jpg,https://f.nooncdn.com/p/pzsku/Z08FF21CDC8B614B837ABZ/45/1764056382/9a357766-c3d9-40f2-9fd3-0710290e18eb.jpg,https://www.noon.com/egypt-en/easy-cook-3-piece-burgundy-frypans-set-granite-non-stick/p/?o=Z08FF21CDC8B614B837ABZ,2026-03-27T18:43:30.332275
noon,N70088538V,Armatal G6 Tefal Pot Dark Purple 26cm,Tefal,Bedding & Bath,,2059.5 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N70088538V/45/_/1729069664/ec539be0-3dd9-4da3-a55c-af613b9a0b8f.jpg,https://f.nooncdn.com/p/pnsku/N70088538V/45/_/1729069664/ec539be0-3dd9-4da3-a55c-af613b9a0b8f.jpg,https://www.noon.com/egypt-en/armatal-g6-tefal-pot-dark-purple-26cm/p/?o=N70088538V,2026-03-27T18:43:30.332279
noon,N51070256A,Rechargeable LED Light Vanity Cosmetic Mirror Pink 27cm,AIWANTO,Bedding & Bath,205 EGP,275 EGP,25%,,,In Stock,Noon,,https://f.nooncdn.com/p/v1632824589/N51070256A_1.jpg,https://f.nooncdn.com/p/v1632824589/N51070256A_1.jpg,https://www.noon.com/egypt-en/rechargeable-led-light-vanity-cosmetic-mirror-pink-27cm/p/?o=N51070256A,2026-03-27T18:43:30.332282
noon,N43324935A,Adjustable  Waterproof Apron Multicolour,AMERTEER,Bedding & Bath,,145 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N43324935A/45/_/1771502751/99b3d43a-222c-4530-8644-63487943be4a.jpg,https://f.nooncdn.com/p/pnsku/N43324935A/45/_/1771502751/99b3d43a-222c-4530-8644-63487943be4a.jpg,https://www.noon.com/egypt-en/adjustable-waterproof-apron-multicolour/p/?o=N43324935A,2026-03-27T18:43:30.332287
noon,N43384078A,Transparent Plastic Facial Tissue Box With Bamboo Cover Clear/Brown,fashionhome,Bedding & Bath,105.75 EGP,118 EGP,10%,,,In Stock,Noon,,https://f.nooncdn.com/p/v1658990714/N43384078A_1.jpg,https://f.nooncdn.com/p/v1658990714/N43384078A_1.jpg,https://www.noon.com/egypt-en/transparent-plastic-facial-tissue-box-with-bamboo-cover-clear-brown/p/?o=N43384078A,2026-03-27T18:43:30.332291
noon,Z223CF22F3AEB3B567AC4Z,8 Piece MODERNA STEWPOT SET 16+18+22+26 -Silver,Zahran,Bedding & Bath,,5698.8 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z223CF22F3AEB3B567AC4Z/45/_/1697017951/12fbf89a-4071-46cd-a33e-5b56e6a8d0aa.jpg,https://f.nooncdn.com/p/pzsku/Z223CF22F3AEB3B567AC4Z/45/_/1697017951/12fbf89a-4071-46cd-a33e-5b56e6a8d0aa.jpg,https://www.noon.com/egypt-en/8-piece-moderna-stewpot-set-16-18-22-26-silver/p/?o=Z223CF22F3AEB3B567AC4Z,2026-03-27T18:43:30.332294
noon,Z0550A8171FE1630D3A5BZ,"2 soft hotel pillows, 900 grams, size 70x50 cm, from Venus",Venus,Bedding & Bath,350 EGP,512.86 EGP,32%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z0550A8171FE1630D3A5BZ/45/1767808029/1c9ca14b-cb65-4c23-af3f-ed3f94ac2321.jpg,https://f.nooncdn.com/p/pzsku/Z0550A8171FE1630D3A5BZ/45/1767808029/1c9ca14b-cb65-4c23-af3f-ed3f94ac2321.jpg,https://www.noon.com/egypt-en/2-soft-hotel-pillows-900-grams-size-70x50-cm-from-venus/p/?o=Z0550A8171FE1630D3A5BZ,2026-03-27T18:43:30.332298
noon,ZF22A842C2BB581EFA9FBZ,"Astronaut Night Star Projector with Remote Control and 360 Degree Adjustable Design Astronaut Galaxy Nebula Night Light for Kids Adults Kids Bedroom Party Room Toy, White",eBasket,Bedding & Bath,434 EGP,525 EGP,17%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZF22A842C2BB581EFA9FBZ/45/_/1730819828/3dedf1f7-670c-409d-b8df-c5803ba8f3db.jpg,https://f.nooncdn.com/p/pzsku/ZF22A842C2BB581EFA9FBZ/45/_/1730819828/3dedf1f7-670c-409d-b8df-c5803ba8f3db.jpg,https://www.noon.com/egypt-en/astronaut-night-star-projector-with-remote-control-and-360-degree-adjustable-design-astronaut-galaxy-nebula-night-light-for-kids-adults-kids-bedroom-party-room-toy-white/p/?o=ZF22A842C2BB581EFA9FBZ,2026-03-27T18:43:30.332301
noon,ZBE2B28C058B5233E9911Z,"Good Sense Spring, Fabrics and Furnishings Freshener,  750 ml",Diversey,Bedding & Bath,,296 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZBE2B28C058B5233E9911Z/45/1767808177/8c7cd267-0380-4c1c-abe1-ccc8f8ed6576.jpg,https://f.nooncdn.com/p/pzsku/ZBE2B28C058B5233E9911Z/45/1767808177/8c7cd267-0380-4c1c-abe1-ccc8f8ed6576.jpg,https://www.noon.com/egypt-en/good-sense-spring-fabrics-and-furnishings-freshener-750-ml/p/?o=ZBE2B28C058B5233E9911Z,2026-03-27T18:43:30.332304
noon,Z57BF75D29FDD72C4E332Z,Lines Turkish Granite Cookware Set â 14 Piece Set â Stainless Steel Lid â Suitable for all stovetops â Made in Turkey  Lines Turkish Granite Cookware Set â 14 Piece Set â Sizes 18/20/24/28 cm + 26 cm Crepe Pan + 28 cm Grill Pan + 16 cm Casserole Dish + 34.5 cm Oven Tray + Cake Pan â Stainless Steel Lid â 8 Colors Gray,,Bedding & Bath,8999 EGP,12855.7 EGP,30%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z57BF75D29FDD72C4E332Z/45/1767808114/dbfba977-a692-4353-be66-33149287ed0f.jpg,https://f.nooncdn.com/p/pzsku/Z57BF75D29FDD72C4E332Z/45/1767808114/dbfba977-a692-4353-be66-33149287ed0f.jpg,https://www.noon.com/egypt-en/lines-turkish-granite-cookware-set-14-piece-set-stainless-steel-lid-suitable-for-all-stovetops-made-in-turkey-lines-turkish-granite-cookware-set-14-piece-set-sizes-18-20-24-28-cm-26-cm-crepe-pan-28-cm-grill-pan-16-cm-casserole-dish-34-5-cm-oven-tray-/p/?o=Z57BF75D29FDD72C4E332Z,2026-03-27T18:43:30.332308
noon,N70088491V,"Xl Intense Stewpot With Glass Lid, Non-Stick Dark Brown 20cm",Tefal,Bedding & Bath,1435 EGP,1436.65 EGP,0%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N70088491V/45/_/1720094691/830b5d43-9842-4139-9f38-2d4b5fda4e10.jpg,https://f.nooncdn.com/p/pnsku/N70088491V/45/_/1720094691/830b5d43-9842-4139-9f38-2d4b5fda4e10.jpg,https://www.noon.com/egypt-en/xl-intense-stewpot-with-glass-lid-non-stick-dark-brown-20cm/p/?o=N70088491V,2026-03-27T18:43:30.332312
noon,Z7D1A469D32F38E5B47EFZ,Neoklein 3-Piece Set (Wok 30Cm + Gril 28Cm + Fry Pan 26Cm) Brown,,Bedding & Bath,3111 EGP,4444.3 EGP,30%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z7D1A469D32F38E5B47EFZ/45/1757511884/293bdf60-a7a1-46a9-adcb-fb1d8d7c01fe.jpg,https://f.nooncdn.com/p/pzsku/Z7D1A469D32F38E5B47EFZ/45/1757511884/293bdf60-a7a1-46a9-adcb-fb1d8d7c01fe.jpg,https://www.noon.com/egypt-en/neoklein-3-piece-set-wok-30cm-gril-28cm-fry-pan-26cm-brown/p/?o=Z7D1A469D32F38E5B47EFZ,2026-03-27T18:43:30.332318
noon,N14453328A,"Featherweight 2-In-1 Upright Vacuum Cleaner 2024E Lightweight 0.5L Capacity, 450W Power, Converts To Handheld, Ideal For Hard Floors| 2-Year Warranty 0.5 L 450 W 2024E Black/Titanium/Blue",Bissell,Bedding & Bath,,3550 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N14453328A/45/_/1764242055/96ac4bff-14f1-42d0-ab70-67b3af99c1c5.jpg,https://f.nooncdn.com/p/pnsku/N14453328A/45/_/1764242055/96ac4bff-14f1-42d0-ab70-67b3af99c1c5.jpg,https://www.noon.com/egypt-en/featherweight-2-in-1-upright-vacuum-cleaner-2024e-lightweight-0-5l-capacity-450w-power-converts-to-handheld-ideal-for-hard-floors-2-year-warranty-0-5-l-450-w-2024e-black-titanium-blue/p/?o=N14453328A,2026-03-27T18:43:30.332321
noon,ZC1A1B6A2132D46E6D205Z,sun power Multipurpose Solar Power Supply Perfect with Multiple Ports,,Bedding & Bath,,2900 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZC1A1B6A2132D46E6D205Z/45/1755614938/a80c58b0-94f6-4fb9-a32e-4d82980b5d3b.jpg,https://f.nooncdn.com/p/pzsku/ZC1A1B6A2132D46E6D205Z/45/1755614938/a80c58b0-94f6-4fb9-a32e-4d82980b5d3b.jpg,https://www.noon.com/egypt-en/sun-power-multipurpose-solar-power-supply-perfect-with-multiple-ports/p/?o=ZC1A1B6A2132D46E6D205Z,2026-03-27T18:43:30.332326
noon,Z2F9DF65B0313B5E7A757Z,"Sokany SK-3378 Upright Vacuum Cleaner 2000W â Lightweight & Easy to Carry | Powerful Suction, Compact Space-Saving Design, 1 Year Warranty",,Bedding & Bath,,2250 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z2F9DF65B0313B5E7A757Z/45/_/1720538603/bc759de9-f728-43a3-bd45-d62ce8eaa5fa.jpg,https://f.nooncdn.com/p/pzsku/Z2F9DF65B0313B5E7A757Z/45/_/1720538603/bc759de9-f728-43a3-bd45-d62ce8eaa5fa.jpg,https://www.noon.com/egypt-en/sokany-sk-3378-upright-vacuum-cleaner-2000w-lightweight-easy-to-carry-powerful-suction-compact-space-saving-design-1-year-warranty/p/?o=Z2F9DF65B0313B5E7A757Z,2026-03-27T18:43:30.332328
noon,ZEC75F8C8A8420D6D9D62Z,Diamond fit table lamp - Black,Cluc,Bedding & Bath,369 EGP,455 EGP,19%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZEC75F8C8A8420D6D9D62Z/45/_/1644360876/e2cc658c-5044-4d5c-aa62-b139874a811b.jpg,https://f.nooncdn.com/p/pzsku/ZEC75F8C8A8420D6D9D62Z/45/_/1644360876/e2cc658c-5044-4d5c-aa62-b139874a811b.jpg,https://www.noon.com/egypt-en/diamond-fit-table-lamp-black/p/?o=ZEC75F8C8A8420D6D9D62Z,2026-03-27T18:43:30.332332
noon,ZAD7E2E788F1F21F9ED7CZ,3D wood English Letters Wall Clock,Home Gallery,Bedding & Bath,300 EGP,330 EGP,9%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZAD7E2E788F1F21F9ED7CZ/45/_/1728044377/db5e3111-b8a3-4820-a778-b7176259182b.jpg,https://f.nooncdn.com/p/pzsku/ZAD7E2E788F1F21F9ED7CZ/45/_/1728044377/db5e3111-b8a3-4820-a778-b7176259182b.jpg,https://www.noon.com/egypt-en/3d-wood-english-letters-wall-clock/p/?o=ZAD7E2E788F1F21F9ED7CZ,2026-03-27T18:43:30.332335
noon,ZE7687340329814F40DB7Z,Foldable Card-Style Utility Cutter for Fruits & Crafts â Compact Portable Slice Tool (2pcs),Showday,Bedding & Bath,119 EGP,199 EGP,40%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZE7687340329814F40DB7Z/45/1764583320/a6517d41-260d-4872-827c-823981ab5bca.jpg,https://f.nooncdn.com/p/pzsku/ZE7687340329814F40DB7Z/45/1764583320/a6517d41-260d-4872-827c-823981ab5bca.jpg,https://www.noon.com/egypt-en/foldable-card-style-utility-cutter-for-fruits-crafts-compact-portable-slice-tool-2pcs/p/?o=ZE7687340329814F40DB7Z,2026-03-27T18:43:30.332338
noon,Z09F84EA04CF6B2838E60Z,Protective Salt For Dishwasher 1.5 KG,ludwik,Bedding & Bath,238.25 EGP,280 EGP,15%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z09F84EA04CF6B2838E60Z/45/1741769138/9d156f9b-656a-4075-a0f4-666eb1020f50.jpg,https://f.nooncdn.com/p/pzsku/Z09F84EA04CF6B2838E60Z/45/1741769138/9d156f9b-656a-4075-a0f4-666eb1020f50.jpg,https://www.noon.com/egypt-en/protective-salt-for-dishwasher-1-5-kg/p/?o=Z09F84EA04CF6B2838E60Z,2026-03-27T18:43:30.332343
noon,Z991ADF90242B56AEBFB1Z,Anti Bacterial Facial Tissues 3 Ply 500 x 3,Familia,Bedding & Bath,86.95 EGP,102 EGP,15%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z991ADF90242B56AEBFB1Z/45/_/1738844626/44ceed73-dc96-4e67-ad0c-295acb0d1919.jpg,https://f.nooncdn.com/p/pzsku/Z991ADF90242B56AEBFB1Z/45/_/1738844626/44ceed73-dc96-4e67-ad0c-295acb0d1919.jpg,https://www.noon.com/egypt-en/anti-bacterial-facial-tissues-3-ply-500-x-3/p/?o=Z991ADF90242B56AEBFB1Z,2026-03-27T18:43:30.332347
noon,N52141751A,Automatic Powder Detergent Oriental (8+1Kg) 9kg,Oxi,Bedding & Bath,484.95 EGP,560 EGP,13%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N52141751A/45/_/1698145201/d946f074-c1c6-447c-94c5-d7503d943ada.jpg,https://f.nooncdn.com/p/pnsku/N52141751A/45/_/1698145201/d946f074-c1c6-447c-94c5-d7503d943ada.jpg,https://www.noon.com/egypt-en/automatic-powder-detergent-oriental-8-1kg-9kg/p/?o=N52141751A,2026-03-27T18:43:30.332391
noon,Z1621BAB404D64AB2A9BEZ,XCOOL 1.5 HP Inverter Cool Only Split AC â 53KHEFT12DN8-708F,Carrier,Bedding & Bath,,28640 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z1621BAB404D64AB2A9BEZ/45/1757408585/f426ef5a-bf67-4a79-b386-799e553a4471.jpg,https://f.nooncdn.com/p/pzsku/Z1621BAB404D64AB2A9BEZ/45/1757408585/f426ef5a-bf67-4a79-b386-799e553a4471.jpg,https://www.noon.com/egypt-en/xcool-1-5-hp-inverter-cool-only-split-ac-53kheft12dn8-708f/p/?o=Z1621BAB404D64AB2A9BEZ,2026-03-27T18:43:30.332396
noon,Z4FCD299F563A739D9088Z,Multifunctional Storage Shelf for Kid's Room and Office Organizer for Toys Books and Office Supplies Modern Design White,MODERN HOME,Bedding & Bath,699 EGP,750 EGP,7%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z4FCD299F563A739D9088Z/45/_/1720913211/d5cd0460-6f69-4013-a564-2c98682d7ca5.jpg,https://f.nooncdn.com/p/pzsku/Z4FCD299F563A739D9088Z/45/_/1720913211/d5cd0460-6f69-4013-a564-2c98682d7ca5.jpg,https://www.noon.com/egypt-en/multifunctional-storage-shelf-for-kid-s-room-and-office-organizer-for-toys-books-and-office-supplies-modern-design-white/p/?o=Z4FCD299F563A739D9088Z,2026-03-27T18:43:30.332400
noon,Z9F4F1DE8697DFAFADE6AZ,Ludwik all in one DW tabs 2*30 mint +14 free,,Bedding & Bath,579.95 EGP,682 EGP,15%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z9F4F1DE8697DFAFADE6AZ/45/_/1737900980/b04a0c81-d5c9-4d56-ba61-0cec2e9f3bb2.jpg,https://f.nooncdn.com/p/pzsku/Z9F4F1DE8697DFAFADE6AZ/45/_/1737900980/b04a0c81-d5c9-4d56-ba61-0cec2e9f3bb2.jpg,https://www.noon.com/egypt-en/ludwik-all-in-one-dw-tabs-2-30-mint-14-free/p/?o=Z9F4F1DE8697DFAFADE6AZ,2026-03-27T18:43:30.332407
noon,N52423469A,Digital Glass Weight Scale Black,Buddy,Bedding & Bath,,333 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/v1642413578/N52423469A_1.jpg,https://f.nooncdn.com/p/v1642413578/N52423469A_1.jpg,https://www.noon.com/egypt-en/digital-glass-weight-scale-black/p/?o=N52423469A,2026-03-27T18:43:30.332409
noon,N51640497A,12-Piece Non-Stick Silicone Cooking Utensils Set Multicolour,,Bedding & Bath,247.05 EGP,786 EGP,69%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N51640497A/45/_/1771502199/6e47dc6e-bfe3-43c5-9256-278714f8ab70.jpg,https://f.nooncdn.com/p/pnsku/N51640497A/45/_/1771502199/6e47dc6e-bfe3-43c5-9256-278714f8ab70.jpg,https://www.noon.com/egypt-en/12-piece-non-stick-silicone-cooking-utensils-set-multicolour/p/?o=N51640497A,2026-03-27T18:43:30.332413
noon,N52343463A,Clothes Organizer And Holder Metal Stand multicolor 110x53x150cm,ALMUFARREJ,Bedding & Bath,545 EGP,599 EGP,9%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N52343463A/45/_/1774367782/443dcb1f-296e-46df-a51a-32d02067c9b8.jpg,https://f.nooncdn.com/p/pnsku/N52343463A/45/_/1774367782/443dcb1f-296e-46df-a51a-32d02067c9b8.jpg,https://www.noon.com/egypt-en/clothes-organizer-and-holder-metal-stand-multicolor-110x53x150cm/p/?o=N52343463A,2026-03-27T18:43:30.332419
noon,ZBB45C867BFE6BAA9AEB3Z,12 Plants Artificial Ivy Leaf Greenery Garland Plants Fake Hanging Vine Garland Fake Leaves for Party Garden Office Christmas Wedding Wall Home Decor 2.3 meters,NAMA,Bedding & Bath,,199 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZBB45C867BFE6BAA9AEB3Z/45/1767565563/f3c1225f-fd05-46f2-a3df-23589a23c0dc.jpg,https://f.nooncdn.com/p/pzsku/ZBB45C867BFE6BAA9AEB3Z/45/1767565563/f3c1225f-fd05-46f2-a3df-23589a23c0dc.jpg,https://www.noon.com/egypt-en/12-plants-artificial-ivy-leaf-greenery-garland-plants-fake-hanging-vine-garland-fake-leaves-for-party-garden-office-christmas-wedding-wall-home-decor-2-3-meters/p/?o=ZBB45C867BFE6BAA9AEB3Z,2026-03-27T18:43:30.332422
noon,N47952805A,3-Piece Candle Holder Stand Gold 25cm,East Lady,Bedding & Bath,259 EGP,499 EGP,48%,,,In Stock,Noon,,https://f.nooncdn.com/p/v1622700484/N47952805A_1.jpg,https://f.nooncdn.com/p/v1622700484/N47952805A_1.jpg,https://www.noon.com/egypt-en/3-piece-candle-holder-stand-gold-25cm/p/?o=N47952805A,2026-03-27T18:43:30.332425
