platform,asin,title,brand,category,current_price,original_price,discount,rating,reviews_count,prime_eligible,amazon_choice,sponsored,main_image,product_url,scraped_at
amazon,B09NMYXNQ3,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Panties",,,,3.5,,,,,https://m.media-amazon.com/images/I/51MoVmSB4DL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B09NMYXNQ3,2026-03-29T11:05:01.840779
amazon,B09NMXPK8D,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Panties",,,,3.5,,,,,https://m.media-amazon.com/images/I/31fyaQ2AVkL._AC_SY445_SX342_QL70_ML2_.jpg,https://www.amazon.eg/dp/B09NMXPK8D,2026-03-29T11:05:18.602622
amazon,B09NMXKLHJ,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Panties",,,,3.5,,,,,https://m.media-amazon.com/images/I/31mAMv6kWKL._AC_SY445_SX342_QL70_ML2_.jpg,https://www.amazon.eg/dp/B09NMXKLHJ,2026-03-29T11:05:51.365372
amazon,B09NMXQX2F,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,"Fashion > Women > Clothing > Nightwear, Lingerie & Underwear > Lingerie & Underwear > Panties",,,,3.5,,,,,https://m.media-amazon.com/images/I/31mAMv6kWKL._AC_SY445_SX342_QL70_ML2_.jpg,https://www.amazon.eg/dp/B09NMXQX2F,2026-03-29T11:05:53.226937
amazon,B0FWRPD5WL,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,Fashion > Women > Clothing > Pants,,,,3.5,,,,,https://m.media-amazon.com/images/I/61qT3ud0vNL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0FWRPD5WL,2026-03-29T11:06:03.079329
amazon,B0FZT93HWK,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,Fashion > Women > Clothing > Pants,,,,3.5,,,,,https://m.media-amazon.com/images/I/51cD5w6ZGYL._AC_SX342_SY445_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0FZT93HWK,2026-03-29T11:06:14.613364
amazon,B0FWRV3ZW2,Stretch Sexy Leather Disco Glitter Women Lycra,Ghils,Fashion > Women > Clothing > Pants,,,,3.5,,,,,https://m.media-amazon.com/images/I/31iGuEkf+qL._AC_SY445_SX342_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0FWRV3ZW2,2026-03-29T11:06:24.669442
amazon,B0G3J6LDCB,"Women’s Ribbed Seamless Halter Neck Tank Top – Soft Stretch Lycra, No Side Seams, Slim Fit Sleeveless Shirt, Available in Short and Long Styles for Casual & Daily Wear",Dabbagh,Fashion > Women > Clothing > Activewear > Shirts & Tees > Tank Tops,,,,3.5,,,,,https://m.media-amazon.com/images/I/71uU0ljtddL._AC_SY445_SX342_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0G3J6LDCB,2026-03-29T11:06:36.994456
amazon,B0G3J4Y4N5,"Women’s Ribbed Seamless Halter Neck Tank Top – Soft Stretch Lycra, No Side Seams, Slim Fit Sleeveless Shirt, Available in Short and Long Styles for Casual & Daily Wear",Dabbagh,Fashion > Women > Clothing > Activewear > Shirts & Tees > Tank Tops,,,,3.5,,,,,https://m.media-amazon.com/images/I/71uPVkMATmL._AC_SY445_SX342_QL70_ML2_.jpg,https://www.amazon.eg/dp/B0G3J4Y4N5,2026-03-29T11:06:39.348034
amazon,B09NY7RGJ3,"Premium Apple Leather iPhone Cases - Luxury Phone Case - Elevate Your iPhone with Timeless Elegance and Protectionfor (iPhone XR, Brown)",IZONE,Electronics > Mobile Phones & Communication > Accessories > Cases & Covers > Basic Cases,EGP271.00,,,2.9,,,,,https://m.media-amazon.com/images/I/61rTMAPl4uL._AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.eg/dp/B09NY7RGJ3,2026-03-29T11:06:45.987390
