platform,asin,title,brand,category,current_price,original_price,discount,rating,reviews_count,prime_eligible,amazon_choice,sponsored,main_image,product_url,scraped_at
amazon,B0CW8MM43B,"A tempered glass screen to protect the entire phone screen with a black frame, compatible with Samsung Galaxy A73",,Samsung phone,EGP 49.00,,,,,,,,https://m.media-amazon.com/images/I/51dlOpk6wRL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CW8MM43B,2026-03-28T17:21:08.898416
amazon,B0CW8MHBF7,"A tempered glass screen to protect the entire phone screen with a black frame, compatible with Samsung Galaxy A72",,Samsung phone,EGP 49.00,,,3.0,,,,,https://m.media-amazon.com/images/I/51dlOpk6wRL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CW8MHBF7,2026-03-28T17:21:08.898818
amazon,B0FGXM8336,"Silicone Phone Case, Shockproof, Flexible with Scratch-Resistant, Anti-Fingerprint, Raised Edges for Full Camera And Screen Protection, Compatible with Samsung A05 - Clear",,Samsung phone,EGP 42.00,,,5.0,,,,,https://m.media-amazon.com/images/I/51jE1WAtTLL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FGXM8336,2026-03-28T17:21:08.899234
amazon,B0CKNCK2LT,Dragon,Dragon,Samsung phone,EGP 47.88,,,,,,,,https://m.media-amazon.com/images/I/61l2OBRzGGL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKNCK2LT,2026-03-28T17:21:08.899587
amazon,B0C4LV52CH,"Plastic Phone Case With Silicone Protection Edges And Classic Design For Samsung Galaxy S20 Ultra 6.9"" - Black",,Samsung phone,EGP 42.20,,,,,,,,https://m.media-amazon.com/images/I/51fbZR9IIVL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0C4LV52CH,2026-03-28T17:21:08.899936
amazon,B0FGXP8F5M,"Silicone Phone Case, Shockproof, Flexible with Scratch-Resistant, Anti-Fingerprint, Raised Edges for Full Camera And Screen Protection, Compatible with Samsung S23 plus - Clear",,Samsung phone,EGP 47.88,,,,,,,,https://m.media-amazon.com/images/I/61NVuDYeOkL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FGXP8F5M,2026-03-28T17:21:08.900291
amazon,B0D31ZKDWW,Shockproof Back Case Cover with Best Camera Protection Compatible with Samsung Galaxy A05 Shockproof Case Reinforced Edges Protection for Samsung Galaxy A05 4G / Samsung a05 by Grabist,,Samsung phone,EGP 41.04,,,3.0,,,,,https://m.media-amazon.com/images/I/61ceEemAm6L._AC_UL320_.jpg,https://www.amazon.eg/dp/B0D31ZKDWW,2026-03-28T17:21:08.900700
amazon,B0FGXMVBFJ,"Silicone Phone Case, Shockproof, Flexible with Scratch-Resistant, Anti-Fingerprint, Raised Edges for Full Camera And Screen Protection, Compatible with Samsung S22 Ultra - Clear",,Samsung phone,EGP 41.04,EGP 54.46,,5.0,List:,,,,https://m.media-amazon.com/images/I/51+8Lw4FnvL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FGXMVBFJ,2026-03-28T17:21:08.901167
amazon,B0CRHWXCLX,Front 6D Glass Screen Protector For Samsung Galaxy J4 2018 - Clear/Black,,Samsung phone,EGP 48.00,EGP 60.00,,4.1,List:,,,,https://m.media-amazon.com/images/I/61yNiHm9QEL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CRHWXCLX,2026-03-28T17:21:08.901629
amazon,B0DWNJLVM2,"Mini Holder Mobile Phone Desk Stand, Adjustable 4 Level,Business Creative Folding Card Buckle Portable Support Foldable Desktop Cell Phone Stands for iPhone15 14 13 Pro Max Plus iPad Samsung (Pink)",,Samsung phone,EGP 49.00,,,3.6,,,,,https://m.media-amazon.com/images/I/41DzeTl0ynL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0DWNJLVM2,2026-03-28T17:21:08.902023
amazon,B0CDGRX7DL,Silicon Phone 360 Degree Protection Plain Cover With Camera Protection Design For Samsung Galaxy S20 6.2 Inch - Clear,,Samsung phone,EGP 45.33,,,,,,,,https://m.media-amazon.com/images/I/51O71rf5ceL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CDGRX7DL,2026-03-28T17:21:08.902385
amazon,B0DN64547H,"Samsung Galaxy S23 Plus Clear Case, Shock-Absorption TPU Cell Phone Cover with Reinforced Corners, Soft Flexible & Crystal Clear Protective Bumper Case",,Samsung phone,EGP 46.54,,,,,,,,https://m.media-amazon.com/images/I/512HLDLP2IL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0DN64547H,2026-03-28T17:21:08.902728
amazon,B0D8G2ZDRG,"Clear Case Compatible with Samsung Galaxy S24 Plus, Clear Armor Full Body Protection TPU Shockproof Anti-Yellow Phone Cover - Clear",,Samsung phone,EGP 49.00,,,,,,,,https://m.media-amazon.com/images/I/51X5oSIcZtL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0D8G2ZDRG,2026-03-28T17:21:08.903068
amazon,B0FPBFSMGR,"Mini Holder Mobile Phone Desk Stand, Adjustable 4 Level,Business Creative Folding Card Buckle Portable Support Foldable Desktop Cell Phone Stands for iPhone15 14 13 Pro Max Plus iPad Samsung (Pink)",,Samsung phone,EGP 48.00,,,1.0,,,,,https://m.media-amazon.com/images/I/41DzeTl0ynL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FPBFSMGR,2026-03-28T17:21:08.903487
amazon,B0CKNF91HV,Dragon,Dragon,Samsung phone,EGP 47.88,,,,,,,,https://m.media-amazon.com/images/I/61VGTQadWbL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0CKNF91HV,2026-03-28T17:21:08.903836
amazon,B0FDTJYDTP,Tempered Glass Screen Protector – 9H Hardness – Full Coverage – Anti-Scratch – Compatible with Samsung Galaxy A24,,Samsung phone,EGP 49.00,,,,,,,,https://m.media-amazon.com/images/I/61g6JOUnqEL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FDTJYDTP,2026-03-28T17:21:08.904201
amazon,B0FRZLNH4V,Silicone Phone Sticky Grip-Pop Bubble Adhesive Phone Holder-Compatible with iPhone and Android-Hands-Free Sticky Mirror Shower Phone Holder-Tiktok Videos and Selfies (violet),,Samsung phone,EGP 50.00,,,2.9,,,,,https://m.media-amazon.com/images/I/61+sCem4KgL._AC_UL320_.jpg,https://www.amazon.eg/dp/B0FRZLNH4V,2026-03-28T17:21:08.904682
