platform,sku,title,brand,category,current_price,original_price,discount,rating,reviews_count,availability,seller,noon_express,main_image,all_images,product_url,scraped_at
noon,,Stitch Teddy Bear Large 30cm â Soft & Safe for Kids â Perfect Gift,Disney,Toys & Games,375 EGP,410 EGP,9%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z714270B7B9A7B36BCA39Z/45/1767809135/bc8b55cd-0f2e-4f88-b838-8b42847078a1.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | z | s | k | u | / | Z | 7 | 1 | 4 | 2 | 7 | 0 | B | 7 | B | 9 | A | 7 | B | 3 | 6 | B | C | A | 3 | 9 | Z | / | 4 | 5 | / | 1 | 7 | 6 | 7 | 8 | 0 | 9 | 1 | 3 | 5 | / | b | c | 8 | b | 5 | 5 | c | d | - | 0 | f | 2 | e | - | 4 | f | 8 | 8 | - | b | 8 | 3 | 8 | - | 8 | b | 4 | 2 | 8 | 4 | 7 | 0 | 7 | 8 | a | 1 | . | j | p | g,https://www.noon.com/egypt-en/stitch-teddy-bear-large-30cm-soft-safe-for-kids-perfect-gift/p/?o=Z714270B7B9A7B36BCA39Z,2026-03-28T02:52:02.010603
noon,,Ben10 Powerful Racing Remote Control Car Durable Sturdy Premium Quality- assorted 10x8cm,child toy,Toys & Games,290 EGP,642 EGP,55%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N13382078A/45/_/1766380589/eefb10c1-8077-4430-b4b4-901eb1dd922c.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | n | s | k | u | / | N | 1 | 3 | 3 | 8 | 2 | 0 | 7 | 8 | A | / | 4 | 5 | / | _ | / | 1 | 7 | 6 | 6 | 3 | 8 | 0 | 5 | 8 | 9 | / | e | e | f | b | 1 | 0 | c | 1 | - | 8 | 0 | 7 | 7 | - | 4 | 4 | 3 | 0 | - | b | 4 | b | 4 | - | 9 | 0 | 1 | e | b | 1 | d | d | 9 | 2 | 2 | c | . | j | p | g,https://www.noon.com/egypt-en/ben10-powerful-racing-remote-control-car-durable-sturdy-premium-quality-assorted-10x8cm/p/?o=N13382078A,2026-03-28T02:52:02.010607
noon,,Rubik's Puzzle Cube,QiaoKai,Toys & Games,82 EGP,132 EGP,38%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N15686911A/45/_/1766050008/56b5afdb-6c14-47b3-8ff2-cd9e56f33aae.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | n | s | k | u | / | N | 1 | 5 | 6 | 8 | 6 | 9 | 1 | 1 | A | / | 4 | 5 | / | _ | / | 1 | 7 | 6 | 6 | 0 | 5 | 0 | 0 | 0 | 8 | / | 5 | 6 | b | 5 | a | f | d | b | - | 6 | c | 1 | 4 | - | 4 | 7 | b | 3 | - | 8 | f | f | 2 | - | c | d | 9 | e | 5 | 6 | f | 3 | 3 | a | a | e | . | j | p | g,https://www.noon.com/egypt-en/rubik-s-puzzle-cube/p/?o=N15686911A,2026-03-28T02:52:02.010611
noon,,Astronaut costume for girls,costumax,Toys & Games,,1400 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z417239EC5575174F96CBZ/45/1747828239/99eb1e17-d5c9-46c7-b710-bfa96e3ac9f1.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | z | s | k | u | / | Z | 4 | 1 | 7 | 2 | 3 | 9 | E | C | 5 | 5 | 7 | 5 | 1 | 7 | 4 | F | 9 | 6 | C | B | Z | / | 4 | 5 | / | 1 | 7 | 4 | 7 | 8 | 2 | 8 | 2 | 3 | 9 | / | 9 | 9 | e | b | 1 | e | 1 | 7 | - | d | 5 | c | 9 | - | 4 | 6 | c | 7 | - | b | 7 | 1 | 0 | - | b | f | a | 9 | 6 | e | 3 | a | c | 9 | f | 1 | . | j | p | g,https://www.noon.com/egypt-en/astronaut-costume-for-girls/p/?o=Z417239EC5575174F96CBZ,2026-03-28T02:52:02.010614
noon,,POP MART Labubu The Monsters Blind Box Big Into Energy Version 3 Series â Surprise Vinyl Figure,Monster,Toys & Games,,175 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z4E79325B4CF8E5BCB5FEZ/45/1752669609/7387de82-6cd5-41e7-9e52-c6451d288858.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | z | s | k | u | / | Z | 4 | E | 7 | 9 | 3 | 2 | 5 | B | 4 | C | F | 8 | E | 5 | B | C | B | 5 | F | E | Z | / | 4 | 5 | / | 1 | 7 | 5 | 2 | 6 | 6 | 9 | 6 | 0 | 9 | / | 7 | 3 | 8 | 7 | d | e | 8 | 2 | - | 6 | c | d | 5 | - | 4 | 1 | e | 7 | - | 9 | e | 5 | 2 | - | c | 6 | 4 | 5 | 1 | d | 2 | 8 | 8 | 8 | 5 | 8 | . | j | p | g,https://www.noon.com/egypt-en/pop-mart-labubu-the-monsters-blind-box-big-into-energy-version-3-series-surprise-vinyl-figure/p/?o=Z4E79325B4CF8E5BCB5FEZ,2026-03-28T02:52:02.010617
noon,,Pack Of 2 Walkie Talkie Toy,TFPS,Toys & Games,,219 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/v1576753258/N32602119A_1.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | v | 1 | 5 | 7 | 6 | 7 | 5 | 3 | 2 | 5 | 8 | / | N | 3 | 2 | 6 | 0 | 2 | 1 | 1 | 9 | A | _ | 1 | . | j | p | g,https://www.noon.com/egypt-en/pack-of-2-walkie-talkie-toy/p/?o=N32602119A,2026-03-28T02:52:02.010620
noon,,Tasali Ramadan - Tabkhenha sawa,2ool A meme,Toys & Games,,40 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZCB4A8AED3652DAC8C747Z/45/_/1772017724/a6f127c1-363e-490d-af4f-3025f9fd25b5.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | z | s | k | u | / | Z | C | B | 4 | A | 8 | A | E | D | 3 | 6 | 5 | 2 | D | A | C | 8 | C | 7 | 4 | 7 | Z | / | 4 | 5 | / | _ | / | 1 | 7 | 7 | 2 | 0 | 1 | 7 | 7 | 2 | 4 | / | a | 6 | f | 1 | 2 | 7 | c | 1 | - | 3 | 6 | 3 | e | - | 4 | 9 | 0 | d | - | a | f | 4 | f | - | 3 | 0 | 2 | 5 | f | 9 | f | d | 2 | 5 | b | 5 | . | j | p | g,https://www.noon.com/egypt-en/tasali-ramadan-tabkhenha-sawa/p/?o=ZCB4A8AED3652DAC8C747Z,2026-03-28T02:52:02.010623
noon,,Finger Biting Crocodile Dentist Baby Funny And Entertaining Game Toy For Kids â15.49x12.45x7.49cm,OMG,Toys & Games,,91 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N22161466A/45/_/1766380578/4276a7b1-100e-4302-9930-9e8398f513d7.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | n | s | k | u | / | N | 2 | 2 | 1 | 6 | 1 | 4 | 6 | 6 | A | / | 4 | 5 | / | _ | / | 1 | 7 | 6 | 6 | 3 | 8 | 0 | 5 | 7 | 8 | / | 4 | 2 | 7 | 6 | a | 7 | b | 1 | - | 1 | 0 | 0 | e | - | 4 | 3 | 0 | 2 | - | 9 | 9 | 3 | 0 | - | 9 | e | 8 | 3 | 9 | 8 | f | 5 | 1 | 3 | d | 7 | . | j | p | g,https://www.noon.com/egypt-en/finger-biting-crocodile-dentist-baby-funny-and-entertaining-game-toy-for-kids-15-49x12-45x7-49cm/p/?o=N22161466A,2026-03-28T02:52:02.010628
noon,,Carpenter Toys 166ginch,Tool Set,Toys & Games,120 EGP,137 EGP,12%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N51471675A/45/_/1767607664/ba50bfc0-2954-4fd0-8e9b-12dc8eca30fa.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | n | s | k | u | / | N | 5 | 1 | 4 | 7 | 1 | 6 | 7 | 5 | A | / | 4 | 5 | / | _ | / | 1 | 7 | 6 | 7 | 6 | 0 | 7 | 6 | 6 | 4 | / | b | a | 5 | 0 | b | f | c | 0 | - | 2 | 9 | 5 | 4 | - | 4 | f | d | 0 | - | 8 | e | 9 | b | - | 1 | 2 | d | c | 8 | e | c | a | 3 | 0 | f | a | . | j | p | g,https://www.noon.com/egypt-en/carpenter-toys-166ginch/p/?o=N51471675A,2026-03-28T02:52:02.010632
noon,,"The Monsters Labubu Big into Energy Series-Vinyl Plush Pendant Blind Box, Blind Box Figures, Random Design Action Figures Collectible Toys Home Decorations, Single Box",Monsters,Toys & Games,102 EGP,350 EGP,71%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZB4C02CB1D0B67291B566Z/45/1762090721/47196666-d7a1-43dc-bcb6-6e26c03a1394.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | z | s | k | u | / | Z | B | 4 | C | 0 | 2 | C | B | 1 | D | 0 | B | 6 | 7 | 2 | 9 | 1 | B | 5 | 6 | 6 | Z | / | 4 | 5 | / | 1 | 7 | 6 | 2 | 0 | 9 | 0 | 7 | 2 | 1 | / | 4 | 7 | 1 | 9 | 6 | 6 | 6 | 6 | - | d | 7 | a | 1 | - | 4 | 3 | d | c | - | b | c | b | 6 | - | 6 | e | 2 | 6 | c | 0 | 3 | a | 1 | 3 | 9 | 4 | . | j | p | g,https://www.noon.com/egypt-en/the-monsters-labubu-big-into-energy-series-vinyl-plush-pendant-blind-box-blind-box-figures-random-design-action-figures-collectible-toys-home-decorations-single-box/p/?o=ZB4C02CB1D0B67291B566Z,2026-03-28T02:52:02.010636
noon,,Colourful Ring Toss With Pillar Playset Multicolour,Junior,Toys & Games,107.2 EGP,113.38 EGP,5%,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N34124852A/45/_/1767607781/f9e29282-875b-494f-b64f-ded3844bb9c9.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | n | s | k | u | / | N | 3 | 4 | 1 | 2 | 4 | 8 | 5 | 2 | A | / | 4 | 5 | / | _ | / | 1 | 7 | 6 | 7 | 6 | 0 | 7 | 7 | 8 | 1 | / | f | 9 | e | 2 | 9 | 2 | 8 | 2 | - | 8 | 7 | 5 | b | - | 4 | 9 | 4 | f | - | b | 6 | 4 | f | - | d | e | d | 3 | 8 | 4 | 4 | b | b | 9 | c | 9 | . | j | p | g,https://www.noon.com/egypt-en/colourful-ring-toss-with-pillar-playset-multicolour/p/?o=N34124852A,2026-03-28T02:52:02.010650
noon,,Tasali Ramadan - 321 Action,2ool A meme,Toys & Games,,40 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/ZF8631520B227D6BEB3B6Z/45/_/1772017724/fb457e65-e364-4abb-99c8-b09dbfc029fd.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | z | s | k | u | / | Z | F | 8 | 6 | 3 | 1 | 5 | 2 | 0 | B | 2 | 2 | 7 | D | 6 | B | E | B | 3 | B | 6 | Z | / | 4 | 5 | / | _ | / | 1 | 7 | 7 | 2 | 0 | 1 | 7 | 7 | 2 | 4 | / | f | b | 4 | 5 | 7 | e | 6 | 5 | - | e | 3 | 6 | 4 | - | 4 | a | b | b | - | 9 | 9 | c | 8 | - | b | 0 | 9 | d | b | f | c | 0 | 2 | 9 | f | d | . | j | p | g,https://www.noon.com/egypt-en/tasali-ramadan-321-action/p/?o=ZF8631520B227D6BEB3B6Z,2026-03-28T02:52:02.010654
noon,,Music Lighting Portable Lightweight Soft Comfortable Piano Gym Fitness Mat For Baby 75x60x42cm,HUANGER,Toys & Games,,480 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pnsku/N37098402A/45/_/1766380660/0c171f77-1632-411c-9b50-4b55924345bb.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | n | s | k | u | / | N | 3 | 7 | 0 | 9 | 8 | 4 | 0 | 2 | A | / | 4 | 5 | / | _ | / | 1 | 7 | 6 | 6 | 3 | 8 | 0 | 6 | 6 | 0 | / | 0 | c | 1 | 7 | 1 | f | 7 | 7 | - | 1 | 6 | 3 | 2 | - | 4 | 1 | 1 | c | - | 9 | b | 5 | 0 | - | 4 | b | 5 | 5 | 9 | 2 | 4 | 3 | 4 | 5 | b | b | . | j | p | g,https://www.noon.com/egypt-en/music-lighting-portable-lightweight-soft-comfortable-piano-gym-fitness-mat-for-baby-75x60x42cm/p/?o=N37098402A,2026-03-28T02:52:02.010657
noon,,portable Kids Child Ball Pit Pool Play Tent For Baby Indoor And Outdoor Game Toy+50 colors balls- 1201,Hello Kitty,Toys & Games,540 EGP,825 EGP,35%,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z6B835BE5234E2A596177Z/45/1767807840/2b9be4fa-4274-4610-ad3b-b01090b0efbc.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | z | s | k | u | / | Z | 6 | B | 8 | 3 | 5 | B | E | 5 | 2 | 3 | 4 | E | 2 | A | 5 | 9 | 6 | 1 | 7 | 7 | Z | / | 4 | 5 | / | 1 | 7 | 6 | 7 | 8 | 0 | 7 | 8 | 4 | 0 | / | 2 | b | 9 | b | e | 4 | f | a | - | 4 | 2 | 7 | 4 | - | 4 | 6 | 1 | 0 | - | a | d | 3 | b | - | b | 0 | 1 | 0 | 9 | 0 | b | 0 | e | f | b | c | . | j | p | g,https://www.noon.com/egypt-en/portable-kids-child-ball-pit-pool-play-tent-for-baby-indoor-and-outdoor-game-toy-50-colors-balls-1201/p/?o=Z6B835BE5234E2A596177Z,2026-03-28T02:52:02.010661
noon,,216-Piece Magnetic Small Ball Cubes with Box,SAPU,Toys & Games,265 EGP,642 EGP,59%,,,In Stock,Noon,,https://f.nooncdn.com/p/v1624608067/N48574048A_1.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | v | 1 | 6 | 2 | 4 | 6 | 0 | 8 | 0 | 6 | 7 | / | N | 4 | 8 | 5 | 7 | 4 | 0 | 4 | 8 | A | _ | 1 | . | j | p | g,https://www.noon.com/egypt-en/216-piece-magnetic-small-ball-cubes-with-box/p/?o=N48574048A,2026-03-28T02:52:02.010665
noon,,48-Wooden Piece Beech Jenga Fold High Stacking Creative Toy Set For Children,Sharpdo,Toys & Games,,145 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/v1609586068/N19916843A_1.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | v | 1 | 6 | 0 | 9 | 5 | 8 | 6 | 0 | 6 | 8 | / | N | 1 | 9 | 9 | 1 | 6 | 8 | 4 | 3 | A | _ | 1 | . | j | p | g,https://www.noon.com/egypt-en/48-wooden-piece-beech-jenga-fold-high-stacking-creative-toy-set-for-children/p/?o=N19916843A,2026-03-28T02:52:02.010668
noon,,Pineapple Themed Mobile Phone,Baby love,Toys & Games,,130 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/v1676461747/N43252832A_1.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | v | 1 | 6 | 7 | 6 | 4 | 6 | 1 | 7 | 4 | 7 | / | N | 4 | 3 | 2 | 5 | 2 | 8 | 3 | 2 | A | _ | 1 | . | j | p | g,https://www.noon.com/egypt-en/pineapple-themed-mobile-phone/p/?o=N43252832A,2026-03-28T02:52:02.010671
noon,,Tasali Ramadan - Fasel w Naaod,2ool A meme,Toys & Games,,40 EGP,,,,In Stock,Noon,,https://f.nooncdn.com/p/pzsku/Z9863F7E65999F0F26967Z/45/_/1772017724/2a7ed597-fa92-457e-a907-6e0ab79fa5e9.jpg,h | t | t | p | s | : | / | / | f | . | n | o | o | n | c | d | n | . | c | o | m | / | p | / | p | z | s | k | u | / | Z | 9 | 8 | 6 | 3 | F | 7 | E | 6 | 5 | 9 | 9 | 9 | F | 0 | F | 2 | 6 | 9 | 6 | 7 | Z | / | 4 | 5 | / | _ | / | 1 | 7 | 7 | 2 | 0 | 1 | 7 | 7 | 2 | 4 | / | 2 | a | 7 | e | d | 5 | 9 | 7 | - | f | a | 9 | 2 | - | 4 | 5 | 7 | e | - | a | 9 | 0 | 7 | - | 6 | e | 0 | a | b | 7 | 9 | f | a | 5 | e | 9 | . | j | p | g,https://www.noon.com/egypt-en/tasali-ramadan-fasel-w-naaod/p/?o=Z9863F7E65999F0F26967Z,2026-03-28T02:52:02.010674
